"SUID","Degree","Edge_type","log2FoldChange","name","Regulatury","selected","SelfLoops","shared name","type"
"93570","9","mRNA-miRNA","2.00316266517026","EDNRA","UP","false","0","EDNRA","mRNA"
"93571","1","mRNA-miRNA","1.64431780578732","NELFCD","UP","false","0","NELFCD","mRNA"
"93572","1","mRNA-miRNA","5.07835474552889","MAPK15","UP","false","0","MAPK15","mRNA"
"93573","1","mRNA-miRNA","1.30752856053716","NQO1","UP","false","0","NQO1","mRNA"
"93574",,"mRNA-miRNA","-0.826268263835788","INO80C","DOWN","false",,"INO80C","mRNA"
"93575","1","mRNA-miRNA","1.18008603001077","ACTR5","UP","false","0","ACTR5","mRNA"
"93576","3","mRNA-miRNA","-2.06300511703379","KLF9","DOWN","false","0","KLF9","mRNA"
"93577","1","mRNA-miRNA","1.50691284628042","UBE2S","UP","false","0","UBE2S","mRNA"
"93578","11","mRNA-miRNA","1.15557955361676","CCT2","UP","false","0","CCT2","mRNA"
"93579","3","mRNA-miRNA","1.15859511322461","TUBA4A","UP","false","0","TUBA4A","mRNA"
"93580","4","mRNA-miRNA","0.860240387006908","ALDH1B1","UP","false","0","ALDH1B1","mRNA"
"93581","2","mRNA-miRNA","-0.885486109003946","ALDH18A1","DOWN","false","0","ALDH18A1","mRNA"
"93582","2","mRNA-miRNA","-0.890957789714473","IDH3A","DOWN","false","0","IDH3A","mRNA"
"93583","10","mRNA-miRNA","1.06078028690349","CCT7","UP","false","0","CCT7","mRNA"
"93584","7","mRNA-miRNA","1.12412405456737","CCT6A","UP","false","0","CCT6A","mRNA"
"93585","6","mRNA-miRNA","0.84940906360086","CCT4","UP","false","0","CCT4","mRNA"
"93586","1","mRNA-miRNA","-3.51482496087958","KRT9","DOWN","false","0","KRT9","mRNA"
"93587","1","mRNA-miRNA","1.5598913922464","L3MBTL1","UP","false","0","L3MBTL1","mRNA"
"93588","15","mRNA-miRNA","1.83072314299982","SOX4","UP","false","0","SOX4","mRNA"
"93589","2","mRNA-miRNA","1.15661249222199","SNRPF","UP","false","0","SNRPF","mRNA"
"93590",,"mRNA-miRNA","3.86092584188344","BRSK2","UP","false",,"BRSK2","mRNA"
"93591","2","mRNA-miRNA","2.78462808674008","DHRS2","UP","false","0","DHRS2","mRNA"
"93592","1","mRNA-miRNA","4.58521126645364","NKD2","UP","false","0","NKD2","mRNA"
"93593","0","mRNA-miRNA","1.48803901714696","HELZ2","UP","false","0","HELZ2","mRNA"
"93594",,"mRNA-miRNA","1.23640552454619","WDR35","UP","false",,"WDR35","mRNA"
"93595","1","mRNA-miRNA","1.86091986945669","DNTTIP1","UP","false","0","DNTTIP1","mRNA"
"93596","2","mRNA-miRNA","1.06938456959109","RFWD3","UP","false","0","RFWD3","mRNA"
"93597","2","mRNA-miRNA","-3.34093717403634","TLR3","DOWN","false","0","TLR3","mRNA"
"93598","13","mRNA-miRNA","-1.17181469142375","SOCS2","DOWN","false","0","SOCS2","mRNA"
"93599","5","mRNA-miRNA","-1.21097258175353","HOXB7","DOWN","false","0","HOXB7","mRNA"
"93600","2","mRNA-miRNA","-1.59702997617381","RORC","DOWN","false","0","RORC","mRNA"
"93601","1","mRNA-miRNA","-1.02786003106003","HMGN3","DOWN","false","0","HMGN3","mRNA"
"93602","2","mRNA-miRNA","1.77702721825412","AHCY","UP","false","0","AHCY","mRNA"
"93603","2","mRNA-miRNA","-1.36533026394557","ECH1","DOWN","false","0","ECH1","mRNA"
"93604","2","mRNA-miRNA","1.18031102226784","SF3B3","UP","false","0","SF3B3","mRNA"
"93605","5","mRNA-miRNA","-1.24241586467579","SFXN1","DOWN","false","0","SFXN1","mRNA"
"93606","4","mRNA-miRNA","1.7938836465128","CAD","UP","false","0","CAD","mRNA"
"93607","0","mRNA-miRNA","-1.49783581566945","CKMT1B","DOWN","false","0","CKMT1B","mRNA"
"93608","4","mRNA-miRNA","-1.37200928598622","HADHA","DOWN","false","0","HADHA","mRNA"
"93609","1","mRNA-miRNA","4.51130192971305","ETV4","UP","false","0","ETV4","mRNA"
"93610","6","mRNA-miRNA","0.864589391445004","STIP1","UP","false","0","STIP1","mRNA"
"93611","1","mRNA-miRNA","-1.53642281100691","DYRK2","DOWN","false","0","DYRK2","mRNA"
"93612","4","mRNA-miRNA","-1.57620123979784","TRAF3IP2","DOWN","false","1","TRAF3IP2","mRNA"
"93613",,"mRNA-miRNA","1.11650900017538","KLHL21","UP","false","0","KLHL21","mRNA"
"93614","0","mRNA-miRNA","-1.56038827161151","RNF5","DOWN","false","0","RNF5","mRNA"
"93615","2","mRNA-miRNA","-1.00579626260495","FBXO8","DOWN","false","0","FBXO8","mRNA"
"93616","0","mRNA-miRNA","-1.67043616496865","CD27","DOWN","false","0","CD27","mRNA"
"93617","2","mRNA-miRNA","0.86284955901854","XPNPEP3","UP","false","0","XPNPEP3","mRNA"
"93618","7","mRNA-miRNA","-1.9707447701851","PRDX6","DOWN","false","1","PRDX6","mRNA"
"93619","3","mRNA-miRNA","0.808729349845463","EBP","UP","false","0","EBP","mRNA"
"93620","3","mRNA-miRNA","-3.4212518313608","NR3C2","DOWN","false","0","NR3C2","mRNA"
"93621","0","mRNA-miRNA","-2.52871251381896","APPL2","DOWN","false","0","APPL2","mRNA"
"93622",,"mRNA-miRNA","1.99398940772837","APLF","UP","false",,"APLF","mRNA"
"93623","3","mRNA-miRNA","1.08558000435867","MAGOHB","UP","false","0","MAGOHB","mRNA"
"93624","6","mRNA-miRNA","1.74030321780706","SHCBP1","UP","false","0","SHCBP1","mRNA"
"93625",,"mRNA-miRNA","1.31600996880286","NUF2","UP","false","0","NUF2","mRNA"
"93626",,"mRNA-miRNA","3.15968126717659","HP","UP","false","0","HP","mRNA"
"93627",,"mRNA-miRNA","-2.12437329932002","PIGR","DOWN","false","0","PIGR","mRNA"
"93628","4","mRNA-miRNA","-1.10899896739572","DECR1","DOWN","false","0","DECR1","mRNA"
"93629","3","mRNA-miRNA","1.07310460422058","CALU","UP","false","0","CALU","mRNA"
"93630","2","mRNA-miRNA","-2.14994167287061","UGDH","DOWN","false","0","UGDH","mRNA"
"93631","3","mRNA-miRNA","1.56512027355542","POLD2","UP","false","0","POLD2","mRNA"
"93632","2","mRNA-miRNA","-0.968661073748365","ERLIN2","DOWN","false","0","ERLIN2","mRNA"
"93633",,"mRNA-miRNA","-2.90557222567667","TRIM40","DOWN","false",,"TRIM40","mRNA"
"93634","2","mRNA-miRNA","-1.16304510093214","ACADVL","DOWN","false","0","ACADVL","mRNA"
"93635","1","mRNA-miRNA","1.02784677040503","PITPNC1","UP","false","0","PITPNC1","mRNA"
"93636","1","mRNA-miRNA","1.23384081719202","NOTCH4","UP","false","0","NOTCH4","mRNA"
"93637",,"mRNA-miRNA","2.4221631779936","CXCL1","UP","false",,"CXCL1","mRNA"
"93638","6","mRNA-miRNA","2.50493686308641","NOTCH3","UP","false","0","NOTCH3","mRNA"
"93639","4","mRNA-miRNA","-1.23777207023884","NDRG2","DOWN","false","0","NDRG2","mRNA"
"93640","8","mRNA-miRNA","-1.21439611552898","ATP1B1","DOWN","false","0","ATP1B1","mRNA"
"93641","2","mRNA-miRNA","-1.56325825820837","ZFP91","DOWN","false","0","ZFP91","mRNA"
"93642","0","mRNA-miRNA","3.31882208143101","ADAMTS2","UP","false","0","ADAMTS2","mRNA"
"93643","0","mRNA-miRNA","-2.44709914239469","RGS13","DOWN","false","0","RGS13","mRNA"
"93644",,"mRNA-miRNA","4.87279099963002","ORM1","UP","false",,"ORM1","mRNA"
"93645","1","mRNA-miRNA","-1.06440598991111","FKBP2","DOWN","false","0","FKBP2","mRNA"
"93646","1","mRNA-miRNA","1.07710978862706","MRPL36","UP","false","0","MRPL36","mRNA"
"93647","11","mRNA-miRNA","-1.0800533636704","ECHS1","DOWN","false","0","ECHS1","mRNA"
"93648","3","mRNA-miRNA","-0.880024277330555","CCDC47","DOWN","false","0","CCDC47","mRNA"
"93649","0","mRNA-miRNA","-1.95390731490378","ZC3H12C","DOWN","false","0","ZC3H12C","mRNA"
"93650","1","mRNA-miRNA","-2.20799646313679","PEG10","DOWN","false","0","PEG10","mRNA"
"93651","0","mRNA-miRNA","-1.52873259957548","CDC42BPG","DOWN","false","0","CDC42BPG","mRNA"
"93652","19","mRNA-miRNA","1.06052662112457","PKM","UP","false","1","PKM","mRNA"
"93653","1","mRNA-miRNA","1.47996242447883","PLXNA3","UP","false","0","PLXNA3","mRNA"
"93654","1","mRNA-miRNA","2.94514708881983","ROBO2","UP","false","0","ROBO2","mRNA"
"93655",,"mRNA-miRNA","0.930195113160364","ZNF746","UP","false",,"ZNF746","mRNA"
"93656","2","mRNA-miRNA","-2.78807614042641","CLEC3B","DOWN","false","0","CLEC3B","mRNA"
"93657","3","mRNA-miRNA","-1.200949156514","PDE4DIP","DOWN","false","0","PDE4DIP","mRNA"
"93658","2","mRNA-miRNA","-4.12273152269936","CHGA","DOWN","false","0","CHGA","mRNA"
"93659",,"mRNA-miRNA","-1.07654939257465","ITFG1","DOWN","false","0","ITFG1","mRNA"
"93660","5","mRNA-miRNA","-2.97050444132165","CKB","DOWN","false","0","CKB","mRNA"
"93661","1","mRNA-miRNA","-0.987442775130218","ZNF219","DOWN","false","0","ZNF219","mRNA"
